cell,attention_only_progress,full_attention_plus_mlp_progress
libero_goal_t0_vs_t6,-0.011090688170577189,0.10394186717647846
libero_goal_t0_vs_t9,0.01605100587515982,0.16783028845867926
libero_goal_t2_vs_t3,0.10150484983317552,0.6572772634126579
libero_goal_t2_vs_t5,0.1105132578874954,0.6536860591046537
libero_goal_t3_vs_t2,0.04175489442273873,0.19002285813761607
libero_goal_t3_vs_t5,0.13036993774209044,0.2959080613521321
libero_goal_t5_vs_t2,0.008305732599710855,0.11109332189245039
libero_goal_t5_vs_t3,0.07677808962667497,0.38710924441076505
libero_goal_t6_vs_t0,0.02945092653848117,0.4655730939710707
libero_goal_t6_vs_t9,-0.004929698421906532,0.06760745825773652
libero_goal_t9_vs_t0,0.10248242745922172,0.3840730168784011
libero_goal_t9_vs_t6,0.038692008861921964,0.4841742465965281
